MeB_initial,ReB_initial,nB_initial,MeB_guess,ReB_guess,nB_guess,MeD_guess,ReD_guess,MeB_final,ReB_final,nB_final,MeD_final,ReD_final,MeB_stderr,ReB_stderr,nB_stderr,MeD_stderr,ReD_stderr,redchi
16.0,0.10000000000000001,0.25,14.4,0.090000000000000011,0.22500000000000001,23.1,9.9,14.4,0.09000000000000008,0.22500000000000009,20.999638576870346,9.0163883986823894,0,0,0,0,0,185.50893144143913
16.0,0.10000000000000001,0.75,14.4,0.090000000000000011,0.67500000000000004,23.1,9.9,54401622.871549696,272914.5233193562,834856.04578618018,20.999466186587142,9.0149669389124352,0,0,0,0,0,187.5931990178494
16.0,0.10000000000000001,1.25,14.4,0.090000000000000011,1.125,23.1,9.9,9371.9537929538219,390.45992014344068,1097.7558924784482,20.989169201384069,8.9305154726070111,0,0,0,0,0,5920.9356168063359
16.0,0.10000000000000001,1.75,14.4,0.090000000000000011,1.575,23.1,9.9,10.000114263148877,0.017820346371041795,3.7297869893423741,21.000460781855647,9.0225985864494156,14.020639342890625,0.078212989600441554,4.6944294502510546,0.00072343345913287375,0.0066370917590673987,173.07164140873525
16.0,0.10000000000000001,2.25,14.4,0.090000000000000011,2.0249999999999999,23.1,9.9,10.000000014518058,0.010000000037126533,7.8498266138820085,21.007369862013419,9.0716682192528353,0,0,0,0,0,749.28029414589309
16.0,0.10000000000000001,2.75,14.4,0.090000000000000011,2.4750000000000001,23.1,9.9,11.341832112920969,0.020922094799359137,5.3725784266728747,21.001421060923906,9.0288219957916223,8.7170692297539354,0.06059689583632516,4.6467767875471644,0.0010723612921279793,0.008197529944974663,168.64241133406512
16.0,0.10000000000000001,3.25,14.4,0.090000000000000011,2.9250000000000003,23.1,9.9,13.599388301083707,0.042601017774224204,4.9953410931144324,21.001615698719206,9.0298830933512253,4.0939154450560897,0.061031450848473973,2.7187239275819941,0.0011744982829749115,0.0086137342557765419,168.32699346242882
16.0,0.10000000000000001,3.75,14.4,0.090000000000000011,3.375,23.1,9.9,14.293608812295531,0.053175877481761225,5.28420633688597,21.001829195805577,9.0309755024403309,2.9372715342828464,0.056805167183030428,2.3488218798125002,0.0013019175529720812,0.0090923467964935147,167.97797983876731
16.0,0.10000000000000001,4.25,14.4,0.090000000000000011,3.8250000000000002,23.1,9.9,14.582490301340471,0.058242055192960773,5.7748560658082377,21.002048166186146,9.0320221571046098,2.5013922794471779,0.054568919452539853,2.3484873295880981,0.0014395712400181409,0.0095638328237599348,167.63859996884187
16.0,0.10000000000000001,4.75,14.4,0.090000000000000011,4.2750000000000004,23.1,9.9,14.71357378045569,0.060538526980387752,6.364110727998872,21.002265266579553,9.0329868595389158,2.3249956688784339,0.053954905749424797,2.5139689114632633,0.0015801015901647543,0.0099969893315409435,167.32879039905768
16.0,0.10000000000000001,5.25,14.4,0.090000000000000011,4.7250000000000005,23.1,9.9,14.7665701920352,0.061269071986657542,7.0194353023956619,21.002477112410968,9.0338592467869532,2.2726504433635433,0.054386743441405906,2.7874477305549537,0.0017188932719569699,0.010376196202932435,167.05171998974896
16.0,0.10000000000000001,5.75,14.4,0.090000000000000011,5.1749999999999998,23.1,9.9,14.772402287336529,0.060980498436609576,7.7313004575836839,21.002683215055225,9.03464515919236,2.2940549523239886,0.055491532009880357,3.1526780205322562,0.001853082982268713,0.010695095230459176,166.80194988944058
16.0,0.59999999999999998,0.25,14.4,0.54000000000000004,0.22500000000000001,23.1,9.9,16.000046465954718,0.60001957236777881,0.25021677696602773,21.000511832393727,9.0230050755064237,5.9618507056290534e-05,1.4676358759076845e-05,0.00019355734740669062,0.00065052209820531893,0.0062510737302684883,172.58965578510424
16.0,0.59999999999999998,0.75,14.4,0.54000000000000004,0.67500000000000004,23.1,9.9,16.000140316648224,0.60007333754198533,0.75018911060069593,21.001051718048576,9.0266761190212161,0.00011159508025594903,4.2360539932516998e-05,0.00035059714240594637,0.00083064748219949442,0.0071452191500280746,169.09644381303949
16.0,0.59999999999999998,1.25,14.4,0.54000000000000004,1.125,23.1,9.9,16.000346952140102,0.60013931548923338,1.2502309835617831,21.001394217339104,9.0287065184396482,0.00019829146692797839,6.8575559785008562e-05,0.00084542960870641803,0.0011078291935574622,0.0084385614441330453,168.92694130588046
16.0,0.59999999999999998,1.75,14.4,0.54000000000000004,1.575,23.1,9.9,16.000589767969718,0.60021428633326401,1.7505949613157694,21.0018795645064,9.0313677917545565,0.00029515510933669515,9.8610542135354166e-05,0.0016572517721198654,0.0014182574371208066,0.0097187566727791608,168.09862753589601
16.0,0.59999999999999998,2.25,14.4,0.54000000000000004,2.0249999999999999,23.1,9.9,16.000887276387022,0.60030503436148286,2.2513784787117164,21.002415607482213,9.0339972965377893,0.00041113915328655503,0.0001349727366014913,0.0028685732812313682,0.0017348782938867294,0.010845317286974101,167.22375430375564
16.0,0.59999999999999998,2.75,14.4,0.54000000000000004,2.4750000000000001,23.1,9.9,16.001234958551038,0.60040921267738945,2.7525718964897186,21.002905019538318,9.0360852533272347,0.0005513728659656674,0.00017845212137485825,0.0045361627474731899,0.0020335637637588122,0.011735273495443878,166.56242866707836
16.0,0.59999999999999998,3.25,14.4,0.54000000000000004,2.9250000000000003,23.1,9.9,16.001619510141296,0.60052260029122495,3.2541671668151819,21.003320511894312,9.0375917320428663,0.00071498851053586668,0.00022824375948009108,0.0066869159490947749,0.0022992105922808536,0.012369787364112955,166.1070819868182
