MeB_initial,ReB_initial,nB_initial,MeB_guess,ReB_guess,nB_guess,MeD_guess,ReD_guess,MeB_final,ReB_final,nB_final,MeD_final,ReD_final,MeB_stderr,ReB_stderr,nB_stderr,MeD_stderr,ReD_stderr,redchi
18.0,0.10000000000000001,0.5,16.2,0.090000000000000011,0.45000000000000001,23.1,9.9,16.199999999999999,0.09000000000000008,0.44999999999999996,20.999638576018999,9.016388391698392,0,0,0,0,0,185.50893384596446
18.0,0.10000000000000001,0.59999999999999998,16.2,0.090000000000000011,0.54000000000000004,23.1,9.9,456463357608.87433,1109705880.4300663,3576158627.0128889,20.999638157372694,9.0163849399460609,0,0,0,0,0,185.51011895708987
18.0,0.10000000000000001,0.69999999999999996,16.2,0.090000000000000011,0.63,23.1,9.9,876774270.19787574,13409235.521390144,20534949.511452556,20.999628845005759,9.0163081486223255,0,0,0,0,0,185.54135647258903
18.0,0.10000000000000001,0.79999999999999993,16.2,0.090000000000000011,0.71999999999999997,23.1,9.9,63812819.736531682,668786.80098200624,136025.43521110987,20.999576885996177,9.0158797029697784,0,0,0,0,0,185.8871808173833
18.0,0.10000000000000001,0.89999999999999991,16.2,0.090000000000000011,0.80999999999999994,23.1,9.9,5689583.0458236597,142905.96141717382,271925.81612122565,20.999434587788414,9.0147064678594298,0,0,0,0,0,188.32343235046099
18.0,0.10000000000000001,0.99999999999999989,16.2,0.090000000000000011,0.89999999999999991,23.1,9.9,1446104.5276372936,46730.389791371628,108782.50516986045,20.999170556564053,9.0125302857552025,0,0,0,0,0,198.59713199312745
18.0,0.10000000000000001,1.0999999999999999,16.2,0.090000000000000011,0.98999999999999988,23.1,9.9,588919.92755174835,21462.094033173715,53885.058407569668,20.998779083809652,9.0093058462228051,0,0,0,0,0,227.39010017010989
18.0,0.10000000000000001,1.1999999999999997,16.2,0.090000000000000011,1.0799999999999998,23.1,9.9,164182.49837075523,6618.4292497911865,17885.167291789538,20.998272242645971,9.0051354963022465,0,0,0,0,0,288.04382417318595
18.0,0.10000000000000001,1.2999999999999998,16.2,0.090000000000000011,1.1699999999999999,23.1,9.9,19241.958721701994,843.08842121223938,2446.3690313655175,20.997669875739589,9.0001861562301801,0,0,0,0,0,392.96363006114188
18.0,0.10000000000000001,1.3999999999999999,16.2,0.090000000000000011,1.26,23.1,9.9,4157.8901743902234,194.70121866063684,607.52840454060106,20.996993126443325,8.9946353221012227,0,0,0,0,0,551.02238695440781
18.0,0.10000000000000001,1.4999999999999998,16.2,0.090000000000000011,1.3499999999999999,23.1,9.9,1313.3705015848673,64.488129768894183,218.10185326948795,20.996261347053654,8.9886453896529179,0,0,0,0,0,766.65606454284011
18.0,0.10000000000000001,1.5999999999999996,16.2,0.090000000000000011,1.4399999999999997,23.1,9.9,530.98940398049035,26.702287662637112,99.472388281712625,20.995490988839503,8.9823535111710235,0,0,0,0,0,1040.2155323964307
18.0,0.10000000000000001,1.6999999999999997,16.2,0.090000000000000011,1.5299999999999998,23.1,9.9,257.46211380427394,12.886564290516091,54.16008142425089,20.994695493471255,8.9758722265178363,0,0,0,0,0,1368.9087124279865
18.0,0.10000000000000001,1.7999999999999998,16.2,0.090000000000000011,1.6199999999999999,23.1,9.9,142.77297329326677,6.8787818578349018,33.64195605549267,20.993885581192089,8.9692904307634382,0,0,0,0,0,1747.8523356456285
18.0,0.10000000000000001,1.8999999999999997,16.2,0.090000000000000011,1.7099999999999997,23.1,9.9,87.613670308240941,3.9123205015649916,23.096712901724644,20.993069667903967,8.9626776682553526,0,0,0,0,0,2170.9887755969999
18.0,0.10000000000000001,1.9999999999999996,16.2,0.090000000000000011,1.7999999999999996,23.1,9.9,58.115264346414094,2.3065679806975874,17.129194761834597,20.992254281269634,8.9560875209771638,0,0,0,0,0,2631.7863476972479
18.0,0.10000000000000001,2.0999999999999996,16.2,0.090000000000000011,1.8899999999999997,23.1,9.9,118.38178186382162,1.8564573657208887,13.494446054874878,20.991444432308082,8.9495607816527034,0,0,0,0,0,3123.7264176790231
18.0,0.10000000000000001,2.1999999999999997,16.2,0.090000000000000011,1.9799999999999998,23.1,9.9,89.784360293191909,1.2305339288688557,11.321281104239873,20.990643925475489,8.9431280904849366,0,0,0,0,0,3640.6143973029398
