BD_ratio,Re_ratio,Me_ratio,delta_ReB,BT_ratio,redchi2_cut,delta_nB,delta_ReD,delta_MeD,delta_MeB
9.3650720233226628e-05,0.011111111111111112,0.8571428571428571,0.0099999999999999256,9.3641950597109173e-05,158.80249901495552,0.050000000000000044,-0.016388391698392013,0.00036142398100125206,1.8000000000000007
0.00010023046289646669,0.011111111111111112,0.8571428571428571,-1109705880.3300664,0.00010022041775760317,158.80250878372587,-3576158626.412889,-0.016384939946060939,0.00036184262730643013,-456463357590.87433
0.00010646532061805479,0.011111111111111112,0.8571428571428571,-13409235.421390144,0.00010645398696020201,158.80861127762739,-20534948.811452556,-0.016308148622325547,0.00037115499424089649,-876774252.19787574
0.00011239189720723345,0.011111111111111112,0.8571428571428571,-668786.70098200627,0.00011237926668824359,159.05392464398585,-136024.63521110988,-0.015879702969778364,0.00042311400382288866,-63812801.736531682
0.000118045416886364,0.011111111111111112,0.8571428571428571,-142905.86141717382,0.00011803148381065186,161.55668283232944,-271924.91612122563,-0.01470646785942975,0.00056541221158568078,-5689565.0458236597
0.00012345679012345682,0.011111111111111112,0.8571428571428571,-46730.28979137163,0.00012344155042587338,173.26089647486032,-108781.50516986045,-0.012530285755202542,0.00082944343594704151,-1446086.5276372936
0.00012865244185460113,0.011111111111111112,0.8571428571428571,-21461.994033173716,0.00012863589253291662,207.22353457573928,-53883.958407569669,-0.0093058462228050587,0.0012209161903484755,-588901.92755174835
0.00013365482435814357,0.011111111111111112,0.8571428571428571,-6618.3292497911862,0.00013363696313330823,279.77961842512826,-17883.967291789537,-0.0051354963022465228,0.0017277573540290803,-164164.49837075523
0.00013848304328956514,0.011111111111111112,0.8571428571428571,-842.98842121223936,0.00013846386839168462,406.11174701711485,-2445.0690313655173,-0.0001861562301801456,0.002330124260410571,-19223.958721701994
0.00014315343257336933,0.011111111111111112,0.8571428571428571,-194.60121866063685,0.00014313294260132162,597.07145067388387,-606.12840454060108,0.0053646778987772592,0.0030068735566750604,-4139.8901743902234
0.00014768003960800746,0.011111111111111112,0.8571428571428571,-64.388129768894188,0.00014765823343424546,858.08487280725353,-216.60185326948795,0.011354610347082073,0.0037386529463461216,-1295.3705015848673
0.00015207502202528602,0.011111111111111112,0.8571428571428571,-26.60228766263711,0.00015205189872943777,1189.5780252125116,-97.872388281712631,0.017646488828976459,0.0045090111604970673,-512.98940398049035
0.00015634896844371184,0.011111111111111112,0.8571428571428571,-12.786564290516091,0.00015632452726513149,1588.1568760254631,-52.460081424250887,0.024127773482163661,0.0053045065287449233,-239.46211380427394
0.00016051115718673136,0.011111111111111112,0.8571428571428571,-6.7787818578349022,0.00016048539748986869,2047.8702413190033,-31.84195605549267,0.030709569236561762,0.0061144188079111927,-124.77297329326677
0.00016456976542581143,0.011111111111111112,0.8571428571428571,-3.8123205015649915,0.00016454268667446289,2561.3411280727009,-21.196712901724645,0.037322331744647386,0.0069303320960329984,-69.613670308240941
0.00016853203900727724,0.011111111111111112,0.8571428571428571,-2.2065679806975873,0.00016850364074512232,3120.6181696793892,-15.129194761834597,0.043912479022836237,0.0077457187303657804,-40.115264346414094
0.0001724044311292593,0.011111111111111112,0.8571428571428571,-1.7564573657208886,0.00017237471296492949,3717.768819016188,-11.394446054874878,0.050439218347296588,0.008555567691917787,-100.38178186382162
0.00017619271627637614,0.011111111111111112,0.8571428571428571,-1.1305339288688556,0.0001761616778718481,4345.2573647183899,-9.1212811042398734,0.056871909515063379,0.0093560745245113708,-71.784360293191909
0.00017990208441486202,0.011111111111111112,0.8571428571428571,0.089999464487473008,0.0001798697254763257,177.31673201604144,-5.1554709561051792,-0.025185171618664626,-0.00085124200158759322,6.202566489749179
0.00018353721935406177,0.011111111111111112,0.8571428571428571,0.089998152062288034,0.00018350353962465744,177.47736429482555,-5.2526016646991254,-0.025469050094615753,-0.00089702855939677306,6.1954102061817444
0.00018710236433242146,0.011111111111111112,0.8571428571428571,0.089998948078083535,0.00018706736358640503,177.64042564104622,-5.3704427831176762,-0.025761155569377081,-0.00094475527083659472,6.1792693874419093
